Date,Open,High,Low,Close
07/25/13, 1117.29, 1131.64, 1115.86, 1130.97
07/24/13, 1140.22, 1140.22, 1115.99, 1123.97
07/23/13, 1130.87, 1146.99, 1130.87, 1141.87
07/22/13, 1110.22, 1120.19, 1110.22, 1117.13
07/19/13, 1111.26, 1111.26, 1101.48, 1105.10
07/18/13, 1108.91, 1123.27, 1108.79, 1114.32
07/17/13, 1104.48, 1112.15, 1099.85, 1108.48
07/16/13, 1096.41, 1096.41, 1083.84, 1092.55
07/15/13, 1078.09, 1085.89, 1078.09, 1084.14
07/12/13, 1085.51, 1085.51, 1069.51, 1073.65
07/11/13, 1079.00, 1094.69, 1079.00, 1094.39
07/10/13, 1058.73, 1063.42, 1047.97, 1052.28
07/09/13, 1043.17, 1063.12, 1043.17, 1058.54
07/08/13, 1039.22, 1052.64, 1039.22, 1043.17
07/05/13, 1046.86, 1049.64, 1027.01, 1039.22
07/03/13, 1046.48, 1047.57, 1035.71, 1042.83
07/02/13, 1051.05, 1058.78, 1033.14, 1054.79
07/01/13, 1051.79, 1065.25, 1049.59, 1056.98
06/28/13, 1039.04, 1048.69, 1036.53, 1044.49
06/27/13, 1039.16, 1054.34, 1039.16, 1048.64
06/26/13, 1037.08, 1042.75, 1024.27, 1034.11
06/25/13, 1027.32, 1040.76, 1018.66, 1037.08
06/24/13, 1035.48, 1035.48, 999.68, 1015.60
06/21/13, 1058.68, 1063.03, 1041.09, 1049.66
06/20/13, 1066.62, 1072.18, 1049.16, 1058.56
06/19/13, 1101.26, 1106.24, 1084.09, 1086.86
06/18/13, 1090.88, 1106.82, 1089.41, 1104.14
06/17/13, 1099.73, 1107.33, 1089.07, 1094.49
06/14/13, 1112.06, 1116.05, 1088.19, 1091.95
06/13/13, 1075.53, 1110.12, 1074.71, 1107.12
06/12/13, 1079.76, 1084.48, 1062.14, 1066.63
06/11/13, 1078.42, 1080.19, 1068.31, 1074.10
06/10/13, 1099.01, 1100.59, 1086.52, 1094.78
06/07/13, 1107.49, 1112.71, 1096.49, 1103.20
06/06/13, 1097.57, 1108.01, 1090.78, 1107.68
06/05/13, 1121.80, 1125.23, 1099.35, 1099.90
